"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API regression testing","Posts CRUD operations","GET /posts/{id} - Boundary Testing","0","0","4","0","0"
"API regression testing","Posts CRUD operations","PUT /posts/{id} - Update Resource","1","0","0","0","0"
"API regression testing","Posts CRUD operations","GET /posts?userId={id} - Performance Check","0","0","1","0","0"
"API regression testing","Posts CRUD operations","POST /posts - Negative Scenarios","0","0","3","0","0"
"API regression testing","Posts CRUD operations","GET /posts - Get All","0","0","1","0","0"
"API regression testing","Posts CRUD operations","GET /posts/{id} - Get by ID","1","0","0","0","0"
"API regression testing","Posts CRUD operations","GET /posts - Complex Filtering","0","0","1","0","0"
"API regression testing","Posts CRUD operations","POST /posts - Create Resource","0","0","1","0","0"
"API regression testing","Posts CRUD operations","GET /posts/{id}/comments - Get Nested Comments","0","0","1","0","0"
"API regression testing","Posts CRUD operations","DELETE /posts/{id} - Delete Resource","0","0","1","0","0"
