"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 15:42:03 UTC 2025","Tue Oct 21 15:42:03 UTC 2025","55","tests","test_posts","TestPosts","","","Check boundary ID: first, last and not existing posts",""
"passed","Tue Oct 21 15:42:03 UTC 2025","Tue Oct 21 15:42:03 UTC 2025","59","tests","test_posts","TestPosts","","","Check boundary ID: first, last and not existing posts",""
"failed","Tue Oct 21 15:42:03 UTC 2025","Tue Oct 21 15:42:03 UTC 2025","75","tests","test_posts","TestPosts","","","Checking for a full post update",""
"passed","Tue Oct 21 15:42:03 UTC 2025","Tue Oct 21 15:42:03 UTC 2025","51","tests","test_posts","TestPosts","","","Check receiving posts by userId and validate response time",""
"passed","Tue Oct 21 15:42:03 UTC 2025","Tue Oct 21 15:42:03 UTC 2025","58","tests","test_posts","TestPosts","","","Negative test POST: Both Missing (expect 400)",""
"passed","Tue Oct 21 15:42:03 UTC 2025","Tue Oct 21 15:42:03 UTC 2025","54","tests","test_posts","TestPosts","","","Negative test POST: Missing Title (expect 400)",""
"passed","Tue Oct 21 15:42:03 UTC 2025","Tue Oct 21 15:42:03 UTC 2025","55","tests","test_posts","TestPosts","","","Check boundary ID: first, last and not existing posts",""
"passed","Tue Oct 21 15:42:02 UTC 2025","Tue Oct 21 15:42:02 UTC 2025","96","tests","test_posts","TestPosts","","","Checking receive all posts",""
"passed","Tue Oct 21 15:42:03 UTC 2025","Tue Oct 21 15:42:03 UTC 2025","63","tests","test_posts","TestPosts","","","Negative test POST: Empty Body (expect 400)",""
"passed","Tue Oct 21 15:42:03 UTC 2025","Tue Oct 21 15:42:03 UTC 2025","73","tests","test_posts","TestPosts","","","Check boundary ID: first, last and not existing posts",""
"failed","Tue Oct 21 15:42:02 UTC 2025","Tue Oct 21 15:42:02 UTC 2025","57","tests","test_posts","TestPosts","","","Checking receipt of post by ID",""
"passed","Tue Oct 21 15:42:03 UTC 2025","Tue Oct 21 15:42:03 UTC 2025","59","tests","test_posts","TestPosts","","","Check filtration by parameters (userId и title)",""
"passed","Tue Oct 21 15:42:02 UTC 2025","Tue Oct 21 15:42:02 UTC 2025","88","tests","test_posts","TestPosts","","","Checking the creation of new post",""
"passed","Tue Oct 21 15:42:03 UTC 2025","Tue Oct 21 15:42:03 UTC 2025","51","tests","test_posts","TestPosts","","","Check receiving and validate nested comments",""
"passed","Tue Oct 21 15:42:03 UTC 2025","Tue Oct 21 15:42:03 UTC 2025","75","tests","test_posts","TestPosts","","","Checking post deletion",""
